id,name,country,city,street,postal_code
873,Les Industries Norjac inc.,Canada,Lévis,815 rue du Ferblantier,G6C 1W1
1145,Pro-Métal Plus Inc. - Achats,Canada,Lac-Jacques-Cartier,"12, Blvd. des Sources",G0A 1S0
738,Powerlace,Canada,Longueuil,"3275 1re Rue, Suite 7",J3Y 8Y6
15198,Groupe Meloche - Achats Indirects,Canada,Beauharnois,"925, rue du Caryer, bureau 201,",J6N 0S6
313,ACTI SOLUTIONS,Canada,Montréal,4035 rue saint ambroise,H4C 2E1
352,Moment Factory,Canada,Montréal,6250 AVENUE PARC,h2v 4h8
345,Amcor Flexibles Capsules Canada inc.,Canada,St-Césaire,2301 route 112,J0L 1T0
549,Structures Industrielles Premium Inc.,Canada,Québec,2345 Avenue Dalton local 150,G1P 3S3
708,Multisystème,Canada,Sainte-Julie,1999 Rue Nobel local 1,J3E 1Z7
673,Tow-Bii,Canada,Sherbrooke,465 rue Joseph-Latour,J1C 0W2
889,Rupico,Canada,Québec,255 rue Notre Dame des Anges,G1K 3E7
909,Linear Transfer Automation,Canada,Barrie,61 Rawson Ave,L4N 6E5
918,Capital Controls & Instrumentation,Canada,Ottawa,"1333 Michael Street, Unit 03",K1B 3M9
1142,Express Elevators & Lifts Inc.,,,,
1246,DeLight Company,Canada,Laval (13),205-1700 Desserte S. A440,H7S 2E7
1196,Foussier Canada Inc.,Canada,Montréal,486 Rue Sainte-Catherine Ouest,H3B 1A6
4053,Brash,Canada,Ottawa,168 Dalhousie Street,K1N 7C4
158,GRAD4 - Frédérik Plourde,Canada,Montréal,"400 Montfort, C-2140 C.P #9",H3C 4J9
1341,Serv-A Packaging,Canada,Laval (13),2870 Boul. Daniel-Johnson,H7P 5Z7
406,FABLAB Inc.,Canada,Montréal,"2050 rue Dandurand, sutie 102",H2G 1Y9
489,Gator Canada Usine,Canada,Sherbrooke,510 chemin du 4ème Rang,J1C 0J8
484,Bartech Machinery,Canada,Montréal,5900 rue Vanden Abeele,H4S 1R9
560,Girolift,Canada,St-Jacques,2708 Route 341,J0K 2R0
641,Usinage Villeneuve - Achats,Canada,Sainte-Anne-des-Plaines,"23, ch du Coteau",J0N 1H0
826,Speedway Packaging Machinery Inc.,Canada,Pickering,10 Gormley Industrial Ave,L0H 1G0
1051,Usimax - Achats,Canada,Saint-Georges,"1155, 98e Rue",G5Y 8J5
585,Capital Winch,Canada,Québec,635 rue du Nickel,G2N 0J9
622,Zero-C,Canada,Longueuil,800 Jean-Neveu,J4G 2M1
633,Enerquin,Canada,Montréal,5730 Place Turcot,H4C 1V8
678,SBQuantum,Canada,Sherbrooke,"400 rue Marquette, suite 143",J1H 1M4
643,NovoPower International Inc.,Canada,Montréal,"326 St.-Joseph Blvd. E, Suite 1",H2T 1J2
629,Lauzon Flooring,Canada,Papineauville,2101 côte des Cascades,J0V 1R0
800,Everest Signs,Canada,Toronto,70 Modern Road,M1R 3B6
817,Groupe Swagelok,Canada,Montréal,2425 Rue Halpern,H4S 1S3
912,PulÉTS,Canada,Montréal,1100 rue Notre-Dame Ouest,H3C 1K3
949,Prodevco,Canada,Vaughan,40 citron court,L4K 2P5
1002,Groupe FabForce - Achats,Canada,Québec,1043 Avenue Lapierre,G3E 1H8
937,Ventec Canada Inc.,Canada,Saint-Hyacinthe,4000 ave Pinard,J2R 1C3
